CH1,CH2,CH3,CH4,CH5
-76.859,-72.939,-71.684,-40.787,-84.349
-76.791,-67.882,-75.024,-43.118,-84.8
-74.292,-66.149,-72.302,-45.065,-85.252
-73.904,-67.323,-72.107,-44.117,-86.164
-76.199,-71.084,-73.538,-46.75,-84.815
-72.714,-71.536,-75.508,-56.958,-85.012
-69.07,-69.133,-74.599,-45.925,-85.037
-75.585,-70.144,-66.958,-40.906,-85.024
-74.177,-70.379,-73.446,-42.193,-85.532
-73.845,-65.762,-73.639,-38.984,-84.405
-75.386,-72.649,-69.174,-44.376,-84.509
-76.487,-71.35,-68.362,-40.514,-84.855
-76.671,-75.017,-70.811,-39.86,-85.63
-75.353,-72.036,-67.489,-46.524,-84.073
-77.346,-74.325,-70.022,-43.11,-84.53
-77.568,-68.427,-67.141,-41.878,-86.115
-81.658,-73.647,-67.893,-43.67,-82.958
-76.069,-72.976,-65.207,-40.109,-81.435
-74.628,-59.81,-64.325,-42.407,-85.519
-73.289,-71.243,-65.193,-43.684,-85.289
-71.661,-73.097,-69.976,-40.255,-84.222
-74.822,-68.502,-71.002,-41.782,-84.154
-73.097,-73.114,-72.315,-42.22,-84.126
-73.44,-70.158,-74.294,-48,-85.104
-78.032,-74.146,-68.273,-38.913,-84.601
-71.728,-69.487,-74.12,-40.475,-83.63
-74.663,-69.541,-69.135,-42.158,-80.109
-76.103,-74.421,-74.89,-42.798,-85.651
-72.094,-68.162,-69.414,-39.503,-85.413
-82.16,-65.33,-70.644,-43.637,-84.763
-76.284,-74.102,-74.048,-43.635,-85.845
-76.126,-75.719,-73.313,-42.711,-74.727
-73.407,-74.623,-76.53,-44.323,-76.41
-72.271,-75.212,-73.492,-44.89,-85.404
-81.322,-74.499,-75.078,-43.229,-84.494
-74.861,-72.191,-77.337,-45.122,-84.704
-76.543,-72.179,-77.465,-43.475,-82.782
-73.563,-75.427,-74.637,-41.913,-84.483
-80.458,-74.101,-76.436,-44.661,-85.265
-75.497,-73.049,-77.23,-42.608,-84.469
-76.679,-75.876,-77.251,-43.607,-84.395
-73.852,-75.723,-74.42,-42.156,-83.37
-78.185,-73.736,-74.2,-43.175,-85.589
-74.735,-77.312,-73.945,-43.285,-75.181
-78.383,-75.016,-76.965,-41.446,-85.247
-76.475,-70.842,-74.845,-41.949,-85.865
-74.471,-75.895,-72.422,-41.75,-85.421
-76.264,-74.625,-72.166,-41.899,-85.98
-71.678,-75.023,-73.44,-43.196,-85.113
-75.828,-75.398,-77.186,-41.862,-84.881
-73.854,-70.49,-72.797,-41.196,-85.908
-72.483,-75.146,-71.903,-42.053,-87.003
-74.97,-74.102,-72.887,-42.771,-84.864
-76.571,-69.715,-69.523,-42.388,-84.758
-81.84,-68.663,-74.411,-41.656,-81.996
-71.326,-72.09,-76.304,-42.884,-83.487
-74.51,-71.772,-78.274,-42.396,-85.995
-74.405,-68.17,-74.483,-40.723,-84.138
-76.389,-69.871,-75.561,-42.505,-83.81
-78.456,-74.468,-73.532,-41.811,-85.178
-77.574,-67.574,-73.963,-42.296,-85.488
-73.885,-69.752,-72.523,-42.709,-84.902
-74.273,-76.122,-72.814,-42.027,-85.78
-71.544,-74.477,-74.804,-41.936,-85.291
-81.494,-69.511,-74.409,-40.054,-85.13
-77.431,-68.086,-73.665,-41.705,-85.689
-80.324,-69.497,-73.117,-42.532,-85.498
-80.647,-72.412,-72.946,-42.463,-85.284
-74.428,-72.354,-75.455,-43.099,-85.803
-80.474,-74.355,-76.547,-41.001,-85.854
-74.58,-70.367,-75.277,-40.557,-85.266
-70.503,-72.257,-73.428,-40.677,-85.021
-76.652,-69.642,-75.806,-40.055,-84.379
-70.783,-67.715,-78.012,-40.944,-84.953
-72.717,-72.856,-75.447,-42.645,-84.927
-71.098,-69.111,-72.969,-44.717,-84.79
-77.665,-73.689,-70.296,-42.491,-85.932
-71.986,-66.727,-69.972,-44.049,-84.627
-73.318,-77.073,-75.025,-44.93,-84.779
-76.71,-74.666,-76.985,-39.621,-85.272
-80.074,-70.631,-76.503,-43.662,-84.81
-74.207,-72.385,-73.569,-39.42,-85.031
-76.904,-72.515,-75.816,-52.847,-85.679
-73.525,-68.942,-77.987,-44.741,-85.728
-81.644,-75.732,-72.636,-41.593,-84.777
-72.608,-74.46,-76.217,-37.95,-84.233
-74.355,-70.392,-77.398,-39.375,-73.907
-71.147,-64.47,-77.94,-40.219,-84.782
-74.097,-70.546,-75.733,-48.33,-85.16
-74.342,-66.04,-71.594,-41.799,-75.515
-77.441,-65.927,-75.409,-42.213,-85.173
-73.137,-74.027,-78.358,-44.037,-85.603
-74.934,-67.8,-78.928,-37.575,-86.5
-75.854,-68.61,-70.915,-35.746,-85.44
-75.82,-67.901,-78.242,-35.279,-85.085
-73.911,-66.769,-76.691,-37.531,-85.322
-73.731,-66.944,-71.948,-37.824,-85.827
-74.944,-68.586,-80.172,-37.363,-85.674
-75.94,-71.62,-75.993,-39.218,-84.538
-76.332,-61.396,-74.624,-36.762,-85.816
-77.589,-71.234,-76.876,-38.984,-84.908
-74.628,-70.074,-76.426,-48.498,-86.003
-71.422,-74.712,-75.352,-40.564,-84.826
-75.649,-65.803,-75.039,-37.254,-85.581
-73.022,-65.596,-72.697,-38.48,-62.596
-71.672,-66.291,-73.713,-38.732,-84.861
-77.068,-69.34,-73.252,-36.07,-85.967
-79.092,-74.18,-71.201,-36.589,-85.136
-70.616,-69.211,-71.352,-38.907,-84.345
-77.05,-65.984,-70.379,-39.623,-85.776
