MUESTRAS,CPM,CE,ETEST
480,0.83082,0.81749,0.185831219
500,0.82968,0.81125,0.060244415
540,0.83292,0.81978,0.299540877
720,0.83207,0.81778,0.211862743
1440,0.83528,0.81923,0.092953527
2160,0.83748,0.82374,0.074481609
2880,0.83597,0.82274,0.108926972
3600,0.83797,0.82314,0.078484137
4320,0.83662,0.82083,0.1263528
5040,0.83793,0.82103,0.142113679
5760,0.84051,0.82587,0.128655185
6480,0.84184,0.8254,0.139723966
7920,0.84314,0.82671,0.123183466
9360,0.84416,0.8263,0.138837483
10800,0.84513,0.82851,0.100059064
12240,0.84642,0.82944,0.09692771
13680,0.84606,0.8315,0.089421006
15120,0.84672,0.83023,0.116913134
16560,0.84675,0.83099,0.128896626
18000,0.84683,0.82768,0.121802713
19440,0.84718,0.82927,0.115777468
20880,0.84702,0.82874,0.120678679
22320,0.84726,0.8291,0.132796686
23760,0.84712,0.82808,0.121041482
25200,0.84769,0.8308,0.121945419
26640,0.84667,0.82745,0.164502706
28080,0.84712,0.83046,0.135846797
29520,0.84728,0.83036,0.123146278
30960,0.84782,0.83028,0.13495959
32400,0.84795,0.82961,0.138172761
33480,0.84766,0.82967,0.112519786
34920,0.84767,0.82982,0.132674188
36360,0.84751,0.82738,0.129923668
37800,0.84748,0.83094,0.118220086
39240,0.84762,0.82947,0.094426646
39960,0.84784,0.83114,0.094736447
40680,0.84781,0.83203,0.105699929
41400,0.84751,0.83157,0.106748188
42120,0.84804,0.83213,0.112618547
42840,0.84781,0.83153,0.120094062
43560,0.84763,0.83029,0.12048761
44280,0.84785,0.8317,0.126109429
45000,0.84785,0.8308,0.139321168
45720,0.84773,0.83047,0.143316641
